"","V1","V2","V3","V4","V5"
"648","Kryo",5000000,0,0.071,5000017
"649","MessagePack",100,0.003,0,1100
"650","MessagePack",1000,0.002,0,11000
"651","MessagePack",10000,0.003,0.001,110000
"652","MessagePack",20000,0.004,0.001,220000
"653","MessagePack",100000,0.01,0.006,1100000
"654","MessagePack",200000,0.018,0.012,2200000
"655","MessagePack",500000,0.041,0.029,5500000
"656","MessagePack",1000000,0.089,0.061,11000000
"657","MessagePack",2000000,0.155,0.118,22000000
"658","MessagePack",3000000,0.251,0.18,33000000
"659","MessagePack",4000000,0.382,0.248,44000000
"660","MessagePack",5000000,0.42,0.312,55000000
"661","Json",100,0.002,0,6701
"662","Json",1000,0.002,0.001,67001
"663","Json",10000,0.004,0.003,670001
"664","Json",20000,0.006,0.006,1340001
"665","Json",100000,0.019,0.032,6700001
"666","Json",200000,0.037,0.08,13400001
"667","Json",500000,0.091,0.197,33500001
"668","Json",1000000,0.171,0.383,67000001
"669","Json",2000000,0.373,0.804,134000001
"670","Json",3000000,0.709,1.586,201000001
"671","Json",4000000,0.806,2.291,268000001
"672","Json",5000000,0.96,2.576,335000001
"673","Avro",100,0.002,0,1248
"674","Avro",1000,0.002,0.001,10249
"675","Avro",10000,0.004,0.001,100270
"676","Avro",20000,0.005,0.002,200311
"677","Avro",100000,0.017,0.011,1000564
"678","Avro",200000,0.033,0.021,2000900
"679","Avro",500000,0.079,0.054,5001886
"680","Avro",1000000,0.15,0.112,10003525
"681","Avro",2000000,0.3,0.261,20006801
"682","Avro",3000000,0.487,0.392,30010077
"683","Avro",4000000,0.792,0.433,40013353
"684","Avro",5000000,0.816,0.588,50016650
"685","Kryo",100,0,0,115
"686","Kryo",1000,0,0,1015
"687","Kryo",10000,0,0.001,10016
"688","Kryo",20000,0,0,20016
"689","Kryo",100000,0,0.001,100016
"690","Kryo",200000,0,0.003,200016
"691","Kryo",500000,0,0.008,500016
"692","Kryo",1000000,0,0.014,1000016
"693","Kryo",2000000,0,0.041,2000017
"694","Kryo",3000000,0,0.044,3000017
"695","Kryo",4000000,0,0.059,4000017
"696","Kryo",5000000,0,0.074,5000017
"697","MessagePack",100,0.003,0,1100
"698","MessagePack",1000,0.002,0,11000
"699","MessagePack",10000,0.003,0,110000
"700","MessagePack",20000,0.005,0.002,220000
"701","MessagePack",100000,0.01,0.007,1100000
"702","MessagePack",200000,0.019,0.012,2200000
"703","MessagePack",500000,0.041,0.029,5500000
"704","MessagePack",1000000,0.079,0.075,11000000
"705","MessagePack",2000000,0.224,0.146,22000000
"706","MessagePack",3000000,0.233,0.181,33000000
"707","MessagePack",4000000,0.356,0.246,44000000
"708","MessagePack",5000000,0.492,0.316,55000000
"709","Json",100,0.002,0.001,6701
"710","Json",1000,0.002,0.001,67001
"711","Json",10000,0.005,0.003,670001
"712","Json",20000,0.006,0.006,1340001
"713","Json",100000,0.019,0.033,6700001
"714","Json",200000,0.079,0.08,13400001
"715","Json",500000,0.087,0.16,33500001
"716","Json",1000000,0.187,0.416,67000001
"717","Json",2000000,0.38,0.751,134000001
"718","Json",3000000,0.694,1.452,201000001
"719","Json",4000000,0.819,2.253,268000001
"720","Json",5000000,0.999,2.604,335000001
"721","Avro",100,0.002,0,1248
"722","Avro",1000,0.002,0,10249
"723","Avro",10000,0.003,0.001,100270
"724","Avro",20000,0.004,0.003,200311
"725","Avro",100000,0.017,0.011,1000564
"726","Avro",200000,0.032,0.022,2000900
"727","Avro",500000,0.08,0.054,5001886
"728","Avro",1000000,0.148,0.103,10003525
"729","Avro",2000000,0.305,0.255,20006801
"730","Avro",3000000,0.487,0.351,30010077
"731","Avro",4000000,0.645,0.426,40013353
"732","Avro",5000000,0.887,0.561,50016650
"733","Kryo",100,0,0,115
"734","Kryo",1000,0,0,1015
"735","Kryo",10000,0,0,10016
"736","Kryo",20000,0,0,20016
"737","Kryo",100000,0,0.002,100016
"738","Kryo",200000,0,0.003,200016
"739","Kryo",500000,0,0.007,500016
"740","Kryo",1000000,0,0.015,1000016
"741","Kryo",2000000,0,0.029,2000017
"742","Kryo",3000000,0,0.045,3000017
"743","Kryo",4000000,0,0.077,4000017
"744","Kryo",5000000,0,0.076,5000017
"745","MessagePack",100,0.003,0,1100
"746","MessagePack",1000,0.001,0.001,11000
"747","MessagePack",10000,0.003,0,110000
"748","MessagePack",20000,0.003,0.002,220000
"749","MessagePack",100000,0.01,0.006,1100000
"750","MessagePack",200000,0.018,0.012,2200000
"751","MessagePack",500000,0.042,0.032,5500000
"752","MessagePack",1000000,0.081,0.058,11000000
"753","MessagePack",2000000,0.184,0.123,22000000
"754","MessagePack",3000000,0.231,0.199,33000000
"755","MessagePack",4000000,0.389,0.247,44000000
"756","MessagePack",5000000,0.497,0.323,55000000
"757","Json",100,0.003,0,6701
"758","Json",1000,0.002,0.001,67001
"759","Json",10000,0.004,0.004,670001
"760","Json",20000,0.009,0.012,1340001
"761","Json",100000,0.033,0.033,6700001
"762","Json",200000,0.036,0.067,13400001
"763","Json",500000,0.089,0.164,33500001
"764","Json",1000000,0.258,0.387,67000001
"765","Json",2000000,0.362,0.799,134000001
"766","Json",3000000,0.574,1.429,201000001
"767","Json",4000000,0.831,2.4,268000001
"768","Json",5000000,1.03,2.609,335000001
"769","Avro",100,0.003,0,1248
"770","Avro",1000,0.002,0,10249
"771","Avro",10000,0.003,0.002,100270
"772","Avro",20000,0.005,0.002,200311
"773","Avro",100000,0.018,0.011,1000564
"774","Avro",200000,0.033,0.022,2000900
"775","Avro",500000,0.079,0.054,5001886
"776","Avro",1000000,0.149,0.103,10003525
"777","Avro",2000000,0.297,0.223,20006801
"778","Avro",3000000,0.459,0.328,30010077
"779","Avro",4000000,0.676,0.421,40013353
"780","Avro",5000000,0.898,0.574,50016650
"781","Kryo",100,0,0,115
"782","Kryo",1000,0,0,1015
"783","Kryo",10000,0,0,10016
"784","Kryo",20000,0,0.001,20016
"785","Kryo",100000,0,0.001,100016
"786","Kryo",200000,0,0.003,200016
"787","Kryo",500000,0,0.008,500016
"788","Kryo",1000000,0,0.014,1000016
"789","Kryo",2000000,0,0.036,2000017
"790","Kryo",3000000,0,0.044,3000017
"791","Kryo",4000000,0,0.058,4000017
"792","Kryo",5000000,0,0.078,5000017
"793","MessagePack",100,0.002,0,1100
"794","MessagePack",1000,0.002,0,11000
"795","MessagePack",10000,0.003,0.001,110000
"796","MessagePack",20000,0.004,0.001,220000
"797","MessagePack",100000,0.01,0.006,1100000
"798","MessagePack",200000,0.017,0.012,2200000
"799","MessagePack",500000,0.04,0.029,5500000
"800","MessagePack",1000000,0.079,0.059,11000000
"801","MessagePack",2000000,0.154,0.162,22000000
"802","MessagePack",3000000,0.236,0.18,33000000
"803","MessagePack",4000000,0.314,0.25,44000000
"804","MessagePack",5000000,0.487,0.35,55000000
"805","Json",100,0.002,0.001,6701
"806","Json",1000,0.003,0,67001
"807","Json",10000,0.004,0.003,670001
"808","Json",20000,0.006,0.007,1340001
"809","Json",100000,0.02,0.043,6700001
"810","Json",200000,0.036,0.067,13400001
"811","Json",500000,0.128,0.18,33500001
"812","Json",1000000,0.179,0.396,67000001
"813","Json",2000000,0.364,0.817,134000001
"814","Json",3000000,0.59,1.514,201000001
"815","Json",4000000,0.819,2.34,268000001
"816","Json",5000000,1.02,2.619,335000001
"817","Avro",100,0.002,0,1248
"818","Avro",1000,0.002,0.001,10249
"819","Avro",10000,0.003,0.002,100270
"820","Avro",20000,0.005,0.003,200311
"821","Avro",100000,0.017,0.011,1000564
"822","Avro",200000,0.033,0.022,2000900
"823","Avro",500000,0.08,0.055,5001886
"824","Avro",1000000,0.154,0.106,10003525
"825","Avro",2000000,0.3,0.231,20006801
"826","Avro",3000000,0.517,0.311,30010077
"827","Avro",4000000,0.664,0.46,40013353
"828","Avro",5000000,0.865,0.605,50016650
"829","Kryo",100,0,0,115
"830","Kryo",1000,0,0.001,1015
"831","Kryo",10000,0,0,10016
"832","Kryo",20000,0,0.001,20016
"833","Kryo",100000,0,0.001,100016
"834","Kryo",200000,0,0.003,200016
"835","Kryo",500000,0,0.007,500016
"836","Kryo",1000000,0,0.014,1000016
"837","Kryo",2000000,0,0.029,2000017
"838","Kryo",3000000,0,0.044,3000017
"839","Kryo",4000000,0,0.06,4000017
"840","Kryo",5000000,0,0.072,5000017
"841","MessagePack",100,0.003,0,1100
"842","MessagePack",1000,0.003,0,11000
"843","MessagePack",10000,0.003,0.001,110000
"844","MessagePack",20000,0.007,0.003,220000
"845","MessagePack",100000,0.01,0.006,1100000
"846","MessagePack",200000,0.017,0.012,2200000
"847","MessagePack",500000,0.04,0.029,5500000
"848","MessagePack",1000000,0.081,0.061,11000000
"849","MessagePack",2000000,0.158,0.117,22000000
"850","MessagePack",3000000,0.244,0.182,33000000
