"","V1","V2","V3","V4","V5"
"1241","Json",100000,0.019,0.032,6700001
"1242","Json",200000,0.036,0.081,13400001
"1243","Json",500000,0.087,0.16,33500001
"1244","Json",1000000,0.172,0.414,67000001
"1245","Json",2000000,0.395,0.772,134000001
"1246","Json",3000000,0.628,1.474,201000001
"1247","Json",4000000,0.856,2.29,268000001
"1248","Json",5000000,0.98,2.462,335000001
"1249","Avro",100,0.003,0,1248
"1250","Avro",1000,0.002,0.001,10249
"1251","Avro",10000,0.003,0.001,100270
"1252","Avro",20000,0.005,0.003,200311
"1253","Avro",100000,0.017,0.011,1000564
"1254","Avro",200000,0.032,0.022,2000900
"1255","Avro",500000,0.09,0.055,5001886
"1256","Avro",1000000,0.152,0.106,10003525
"1257","Avro",2000000,0.302,0.222,20006801
"1258","Avro",3000000,0.466,0.33,30010077
"1259","Avro",4000000,0.612,0.451,40013353
"1260","Avro",5000000,0.797,0.576,50016650
"1261","Kryo",100,0,0,115
"1262","Kryo",1000,0,0,1015
"1263","Kryo",10000,0,0,10016
"1264","Kryo",20000,0,0,20016
"1265","Kryo",100000,0,0.002,100016
"1266","Kryo",200000,0,0.003,200016
"1267","Kryo",500000,0,0.007,500016
"1268","Kryo",1000000,0,0.014,1000016
"1269","Kryo",2000000,0,0.028,2000017
"1270","Kryo",3000000,0,0.043,3000017
"1271","Kryo",4000000,0,0.058,4000017
"1272","Kryo",5000000,0,0.077,5000017
"1273","MessagePack",100,0.002,0,1100
"1274","MessagePack",1000,0.002,0,11000
"1275","MessagePack",10000,0.003,0,110000
"1276","MessagePack",20000,0.003,0.002,220000
"1277","MessagePack",100000,0.009,0.006,1100000
"1278","MessagePack",200000,0.019,0.012,2200000
"1279","MessagePack",500000,0.04,0.03,5500000
"1280","MessagePack",1000000,0.076,0.065,11000000
"1281","MessagePack",2000000,0.172,0.145,22000000
"1282","MessagePack",3000000,0.253,0.25,33000000
"1283","MessagePack",4000000,0.343,0.252,44000000
"1284","MessagePack",5000000,0.424,0.325,55000000
"1285","Json",100,0.003,0,6701
"1286","Json",1000,0.003,0,67001
"1287","Json",10000,0.004,0.004,670001
"1288","Json",20000,0.006,0.007,1340001
"1289","Json",100000,0.021,0.033,6700001
"1290","Json",200000,0.04,0.066,13400001
"1291","Json",500000,0.094,0.166,33500001
"1292","Json",1000000,0.179,0.386,67000001
"1293","Json",2000000,0.35,0.773,134000001
"1294","Json",3000000,0.63,1.513,201000001
"1295","Json",4000000,0.824,2.313,268000001
"1296","Json",5000000,0.998,2.538,335000001
"1297","Avro",100,0.003,0,1248
"1298","Avro",1000,0.002,0,10249
"1299","Avro",10000,0.003,0.001,100270
"1300","Avro",20000,0.005,0.002,200311
"1301","Avro",100000,0.017,0.01,1000564
"1302","Avro",200000,0.033,0.021,2000900
"1303","Avro",500000,0.08,0.074,5001886
"1304","Avro",1000000,0.151,0.112,10003525
"1305","Avro",2000000,0.315,0.255,20006801
"1306","Avro",3000000,0.531,0.34,30010077
"1307","Avro",4000000,0.786,0.446,40013353
"1308","Avro",5000000,0.861,0.622,50016650
"1309","Kryo",100,0,0,115
"1310","Kryo",1000,0,0,1015
"1311","Kryo",10000,0,0.001,10016
"1312","Kryo",20000,0,0,20016
"1313","Kryo",100000,0,0.001,100016
"1314","Kryo",200000,0,0.003,200016
"1315","Kryo",500000,0,0.007,500016
"1316","Kryo",1000000,0,0.015,1000016
"1317","Kryo",2000000,0,0.029,2000017
"1318","Kryo",3000000,0,0.044,3000017
"1319","Kryo",4000000,0,0.061,4000017
"1320","Kryo",5000000,0,0.072,5000017
"1321","MessagePack",100,0.003,0,1100
"1322","MessagePack",1000,0.002,0,11000
"1323","MessagePack",10000,0.003,0.001,110000
"1324","MessagePack",20000,0.004,0.001,220000
"1325","MessagePack",100000,0.01,0.006,1100000
"1326","MessagePack",200000,0.016,0.012,2200000
"1327","MessagePack",500000,0.041,0.03,5500000
"1328","MessagePack",1000000,0.078,0.06,11000000
"1329","MessagePack",2000000,0.177,0.122,22000000
"1330","MessagePack",3000000,0.241,0.198,33000000
"1331","MessagePack",4000000,0.306,0.236,44000000
"1332","MessagePack",5000000,0.442,0.355,55000000
"1333","Json",100,0.003,0,6701
"1334","Json",1000,0.002,0.001,67001
"1335","Json",10000,0.005,0.003,670001
"1336","Json",20000,0.006,0.007,1340001
"1337","Json",100000,0.02,0.033,6700001
"1338","Json",200000,0.036,0.068,13400001
"1339","Json",500000,0.088,0.189,33500001
"1340","Json",1000000,0.175,0.387,67000001
"1341","Json",2000000,0.404,0.842,134000001
"1342","Json",3000000,0.62,1.408,201000001
"1343","Json",4000000,0.796,2.286,268000001
"1344","Json",5000000,1,2.514,335000001
"1345","Avro",100,0.002,0,1248
"1346","Avro",1000,0.001,0.001,10249
"1347","Avro",10000,0.003,0.001,100270
"1348","Avro",20000,0.005,0.002,200311
"1349","Avro",100000,0.017,0.01,1000564
"1350","Avro",200000,0.034,0.022,2000900
"1351","Avro",500000,0.085,0.075,5001886
"1352","Avro",1000000,0.15,0.128,10003525
"1353","Avro",2000000,0.301,0.254,20006801
"1354","Avro",3000000,0.497,0.354,30010077
"1355","Avro",4000000,0.609,0.444,40013353
"1356","Avro",5000000,0.805,0.651,50016650
"1357","Kryo",100,0,0,115
"1358","Kryo",1000,0,0.001,1015
"1359","Kryo",10000,0,0,10016
"1360","Kryo",20000,0,0,20016
"1361","Kryo",100000,0,0.002,100016
"1362","Kryo",200000,0,0.003,200016
"1363","Kryo",500000,0,0.007,500016
"1364","Kryo",1000000,0,0.015,1000016
"1365","Kryo",2000000,0,0.03,2000017
"1366","Kryo",3000000,0,0.047,3000017
"1367","Kryo",4000000,0,0.059,4000017
"1368","Kryo",5000000,0,0.091,5000017
"1369","MessagePack",100,0.003,0,1100
"1370","MessagePack",1000,0.002,0.001,11000
"1371","MessagePack",10000,0.003,0,110000
"1372","MessagePack",20000,0.003,0.001,220000
"1373","MessagePack",100000,0.01,0.006,1100000
"1374","MessagePack",200000,0.016,0.012,2200000
"1375","MessagePack",500000,0.041,0.029,5500000
"1376","MessagePack",1000000,0.079,0.069,11000000
"1377","MessagePack",2000000,0.157,0.117,22000000
"1378","MessagePack",3000000,0.241,0.208,33000000
"1379","MessagePack",4000000,0.364,0.278,44000000
"1380","MessagePack",5000000,0.413,0.343,55000000
"1381","Json",100,0.003,0,6701
"1382","Json",1000,0.002,0.001,67001
"1383","Json",10000,0.007,0.006,670001
"1384","Json",20000,0.007,0.006,1340001
"1385","Json",100000,0.023,0.033,6700001
"1386","Json",200000,0.038,0.067,13400001
